[16:12:50] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[16:12:50] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[16:12:50] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[16:12:50] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[16:12:50] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2860 for Minecraft 1.12.2 loading
[16:12:50] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_311, running on Linux:aarch64:5.4.17-2136.302.6.1.el7uek.aarch64, installed at /usr/java/jdk1.8.0_311-aarch64/jre
[16:12:50] [main/DEBUG] [FML]: Java classpath at launch is:
[16:12:50] [main/DEBUG] [FML]:     server.jar
[16:12:50] [main/DEBUG] [FML]: Java library path at launch is:
[16:12:50] [main/DEBUG] [FML]:     /usr/java/packages/lib/aarch64
[16:12:50] [main/DEBUG] [FML]:     /lib
[16:12:50] [main/DEBUG] [FML]:     /usr/lib
[16:12:50] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: /home/opc/libraries
[16:12:50] [main/DEBUG] [FML]: Cleaning up mods folder: ./mods
[16:12:50] [main/DEBUG] [FML]: Examining file: # LibLoader.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Bountiful+Baubles-1.12.2-0.1.8.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: DynamicTrees-1.12.2-0.9.26.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Placebo-1.12.2-1.6.0.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Advanced-Fishing-1.12.2-1.3.3.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Quark-r1.6-179.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: alcatrazcore-1.0.4.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: antiqueatlas-1.12.2-4.6.3.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: classyhats-1.6.0.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Aquaculture-1.12.2-1.6.8.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: armorunder-mc1.12.2-1.0.0.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: LootTweaker-0.3.1+MC1.12.2.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: AutoRegLib-1.3-32.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: BacoDifficulty-1.0.3.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: RLTweaker-1.12.2-0.4.7.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: BattleTowers-1.12.2.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: Baubles-1.12-1.5.2.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: RealBench-1.12.2-1.3.3.jar
[16:12:50] [main/DEBUG] [FML]: Examining file: better_survival-1.4.1.jar
